排名,召唤师,段位,LP,常用英雄,等级,总场数,胜场,负场,胜率
28,FREE PALESTINE#humzh,Challenger,996,荣耀行刑官/圣枪游侠/探险家,687,618,317,301,51%
29,WmXn Le#NA01,Challenger,993,时间刺客/德玛西亚皇子/破败之王,526,235,125,110,53%
30,White Canyon#Ken,Challenger,975,盲僧/德玛西亚皇子/永恒梦魇,347,1019,543,476,53%
31,Zamudo#NA1,Challenger,972,未来守护者/兽灵行者/法外狂徒,984,179,116,63,65%
32,Spawn#NA3,Challenger,967,探险家/戏命师/英勇投弹手,768,565,318,247,56%
33,Aeon#NA3,Challenger,966,未来守护者/盲僧/铁血狼母,1080,533,283,250,53%
34,888#NA2,Challenger,959,不祥之刃/封魔剑魂/解脱者,677,109,70,39,64%
35,snarkyy#krule,Challenger,959,符文法师/发条魔灵/暗黑元首,722,442,246,196,56%
36,Wistfully#663,Challenger,954,无畏战车/虚空恐惧/暴怒骑士,1331,997,533,464,53%
37,Adrian Riven#SF6,Challenger,952,放逐之刃/英勇投弹手/荒漠屠夫,655,537,296,241,55%
38,薛定谔的猫#888,Challenger,952,无极剑圣/正义巨像/熔岩巨兽,598,547,302,245,55%
39,white space#kimmy,Challenger,946,未来守护者/机械公敌/铁血狼母,391,806,442,364,55%
40,Bazz#99999,Challenger,938,戏命师/英勇投弹手/探险家,893,362,215,147,59%
41,tangy#2007,Challenger,938,德玛西亚之翼/影哨/百裂冥犬,641,356,200,156,56%
42,KATAWOLFF S16#11111,Challenger,933,无双剑姬/永猎双子/刀锋舞者,134,1016,531,485,52%
43,Xaple#NA1,Challenger,928,血港鬼影/不屈之枪/天启者,941,541,306,235,57%
44,Cole Caufield#MTL,Challenger,927,铁血狼母/暗裔剑魔/盲僧,275,313,195,118,62%
45,林崇怡#我爱你,Challenger,926,炽炎雏龙/英勇投弹手/不破之誓,366,283,156,127,55%
46,Erick Dota#Erick,Challenger,923,暮光星灵/流光镜影/魔蛇之拥,1798,544,282,262,52%
47,一猛一#剑 来,Challenger,922,不屈之枪/岩雀/探险家,129,436,248,188,57%
48,Kers#Mint,Challenger,921,未来守护者/暗夜猎手/冰晶凤凰,53,261,185,76,71%
49,BOROS#2ppl,Challenger,920,无双剑姬/未来守护者/傲之追猎者,609,845,442,403,52%
50,CaptBear#NA1,Challenger,918,暴怒骑士,883,459,261,198,57%
51,Yuu13#137,Challenger,912,百裂冥犬/法外狂徒/德玛西亚皇子,723,485,274,211,56%
52,Trisend3#NA1,Challenger,912,暗黑元首/发条魔灵/符文法师,512,628,333,295,53%
53,翻斗花园第一野区突破手牛爷爷#喊我一声爷,Challenger,910,费德提克/荒漠屠夫/暗裔剑魔,125,127,80,47,63%
54,ttv usiex#dif,Challenger,909,诡术妖姬/疾风剑豪/元素女皇,80,495,278,217,56%
55,Thanatoes#kr2,Challenger,908,未来守护者/铁血狼母/荒漠屠夫,221,526,307,219,58%
56,iron man#7541,Challenger,908,疾风剑豪/暗黑元首/正义巨像,67,245,170,75,69%
57,Josedeodo#NA12,Challenger,907,未来守护者/盲僧/铁血狼母,710,362,235,127,65%
58,Season of Leaves#Fall,Challenger,904,光辉女郎/冰晶凤凰/流光镜影,661,509,283,226,56%
59,HξκтιČ#dani,Challenger,903,涤魂圣枪/风暴之怒/唤潮鲛姬,250,816,448,368,55%
60,ily#5 13,Challenger,901,琴瑟仙女/虚空女皇/刀锋之影,366,198,150,48,76%
61,AnotherGanker#NA2,Challenger,899,虚空遁地兽/虚空掠夺者/皎月女神,1127,641,331,310,52%
62,Maxxxxxxxx#征服万物,Challenger,892,铁血狼母/百裂冥犬/暗裔剑魔,330,1019,549,470,54%
63,Viable#NA2,Challenger,882,寒冰射手/祖安花火/虚空之女,1110,540,288,252,53%
