#,召唤师,段位,LP,常用英雄,等级,胜场,负场,胜率
38,薛定谔的猫#888,Challenger,952,无极剑圣/正义巨像/熔岩巨兽,598,302,245,55%
39,white space#kimmy,Challenger,946,未来守护者/机械公敌/铁血狼母,391,442,364,55%
40,Bazz#99999,Challenger,938,戏命师/英勇投弹手/探险家,893,215,147,59%
41,tangy#2007,Challenger,938,德玛西亚之翼/影哨/百裂冥犬,641,200,156,56%
42,KATAWOLFF S16#11111,Challenger,933,无双剑姬/永猎双子/刀锋舞者,134,531,485,52%
43,Xaple#NA1,Challenger,928,血港鬼影/不屈之枪/天启者,941,306,235,57%
44,Cole Caufield#MTL,Challenger,927,铁血狼母/暗裔剑魔/盲僧,275,195,118,62%
45,林崇怡#我爱你,Challenger,926,炽炎雏龙/英勇投弹手/不破之誓,366,156,127,55%
46,Erick Dota#Erick,Challenger,923,暮光星灵/流光镜影/魔蛇之拥,1798,282,262,52%
47,一猛一#剑 来,Challenger,922,不屈之枪/岩雀/探险家,129,248,188,57%
48,Kers#Mint,Challenger,921,未来守护者/暗夜猎手/冰晶凤凰,53,185,76,71%
49,BOROS#2ppl,Challenger,920,无双剑姬/未来守护者/傲之追猎者,609,442,403,52%
50,CaptBear#NA1,Challenger,918,暴怒骑士,883,261,198,57%
51,Yuu13#137,Challenger,912,百裂冥犬/法外狂徒/德玛西亚皇子,723,274,211,56%
52,Trisend3#NA1,Challenger,912,暗黑元首/发条魔灵/符文法师,512,333,295,53%
53,翻斗花园第一野区突破手牛爷爷#喊我一声爷,Challenger,910,费德提克/荒漠屠夫/暗裔剑魔,125,80,47,63%
54,ttv usiex#dif,Challenger,909,诡术妖姬/疾风剑豪/元素女皇,80,278,217,56%
55,Thanatoes#kr2,Challenger,908,未来守护者/铁血狼母/荒漠屠夫,221,307,219,58%
56,iron man#7541,Challenger,908,疾风剑豪/暗黑元首/正义巨像,67,170,75,69%
57,Josedeodo#NA12,Challenger,907,未来守护者/盲僧/铁血狼母,710,235,127,65%
58,Season of Leaves#Fall,Challenger,904,光辉女郎/冰晶凤凰/流光镜影,661,283,226,56%
59,HξκтιČ#dani,Challenger,903,涤魂圣枪/风暴之怒/唤潮鲛姬,250,448,368,55%
60,ily#5 13,Challenger,901,琴瑟仙女/虚空女皇/刀锋之影,366,150,48,76%
61,AnotherGanker#NA2,Challenger,899,虚空遁地兽/虚空掠夺者/皎月女神,1127,331,310,52%
62,Maxxxxxxxx#征服万物,Challenger,892,铁血狼母/百裂冥犬/暗裔剑魔,330,549,470,54%
63,Viable#NA2,Challenger,882,寒冰射手/祖安花火/虚空之女,1110,288,252,53%
64,monkey30000#Lyff,Challenger,879,英勇投弹手/探险家/爆破鬼才,1408,197,150,57%
65,Rabbit#Owen,Challenger,877,暴走萝莉/酒桶/探险家,719,367,365,50%
66,bountyxd#777,Challenger,875,天启者/深海泰坦/牛头酋长,211,192,158,55%
67,Sushee#NA1,Challenger,874,暗夜猎手/不破之誓/圣枪游侠,1482,285,225,56%
68,TTVHEXerathtv#xerth,Challenger,871,远古巫灵/深渊巨口/皮城女警,149,410,322,56%
69,Tactical0#NA1,Challenger,870,探险家/不破之誓/英勇投弹手,497,155,103,60%
70,Rustgod12#00000,Challenger,870,狂野女猎手/涤魂圣枪/深海泰坦,818,291,257,53%
71,SτΨαi#STR,Challenger,869,双界灵兔/星界游神/未来守护者,616,187,160,54%
72,Exuan#xyi,Challenger,868,影流之镰/德邦总管/虚空掠夺者,661,274,239,53%
73,Nikkone#NA1,Challenger,867,费德提克/虚空掠夺者/战争之影,984,221,164,57%
74,Kenvi#000,Challenger,867,未来守护者/法外狂徒/铁血狼母,540,343,273,56%
75,Skyy#NA11,Challenger,867,符文法师/流光镜影/双界灵兔,516,478,419,53%
76,fliptik#skbdi,Challenger,866,青钢影/狂战士/荒漠屠夫,859,462,398,54%
77,SilentRestraint#999,Challenger,863,兽灵行者/潮汐海灵/法外狂徒,68,201,150,57%
78,pentaless#NA4,Challenger,863,雪原双子/上古领主/亡灵战神,92,192,144,57%
79,Rhaastie#fan,Challenger,863,放逐之刃/铁血狼母/暗夜猎手,400,309,241,56%
80,JotaroKujo#NA2,Challenger,860,影流之主/虚空之眼/未来守护者,222,216,162,57%
81,Zven#S16XD,Challenger,859,探险家/英勇投弹手/不破之誓,1242,304,222,58%
82,gh434#yone,Challenger,855,封魔剑魂/疾风剑豪/虚空之女,70,190,158,55%
83,Levitate#1v9,Challenger,854,炽炎雏龙/英勇投弹手/涤魂圣枪,737,249,200,55%
84,qi song#0204,Challenger,854,亡灵战神/永恒梦魇/虚空遁地兽,219,337,316,52%
85,trapped inside#NA1,Challenger,845,残月之肃/探险家/麦林炮手,268,216,137,61%
