排名,召唤师,后缀,常用英雄,常用英雄,常用英雄,段位,LP,等级,总场数,胜场,负场,胜率
,,,1,2,3,,,,,,,
64,monkey30000,Lyff,英勇投弹手,探险家,爆破鬼才,Challenger,879,1408,347,197,150,57%
65,Rabbit,Owen,暴走萝莉,酒桶,探险家,Challenger,877,719,732,367,365,50%
66,bountyxd,777,天启者,深海泰坦,牛头酋长,Challenger,875,211,350,192,158,55%
67,Sushee,NA1,暗夜猎手,不破之誓,圣枪游侠,Challenger,874,1482,510,285,225,56%
68,TTVHEXerathtv,xerth,远古巫灵,深渊巨口,皮城女警,Challenger,871,149,732,410,322,56%
69,Tactical0,NA1,探险家,不破之誓,英勇投弹手,Challenger,870,497,258,155,103,60%
70,Rustgod12,00000,狂野女猎手,涤魂圣枪,深海泰坦,Challenger,870,818,548,291,257,53%
71,SτΨαi,STR,双界灵兔,星界游神,未来守护者,Challenger,869,616,347,187,160,54%
72,Exuan,xyi,影流之镰,德邦总管,虚空掠夺者,Challenger,868,661,513,274,239,53%
73,Nikkone,NA1,费德提克,虚空掠夺者,战争之影,Challenger,867,984,385,221,164,57%
74,Kenvi,000,未来守护者,法外狂徒,铁血狼母,Challenger,867,540,616,343,273,56%
75,Skyy,NA11,符文法师,流光镜影,双界灵兔,Challenger,867,516,897,478,419,53%
76,fliptik,skbdi,青钢影,狂战士,荒漠屠夫,Challenger,866,859,860,462,398,54%
77,SilentRestraint,999,兽灵行者,潮汐海灵,法外狂徒,Challenger,863,68,351,201,150,57%
78,pentaless,NA4,雪原双子,上古领主,亡灵战神,Challenger,863,92,336,192,144,57%
79,Rhaastie,fan,放逐之刃,铁血狼母,暗夜猎手,Challenger,863,400,550,309,241,56%
80,JotaroKujo,NA2,影流之主,虚空之眼,未来守护者,Challenger,860,222,378,216,162,57%
81,Zven,S16XD,探险家,英勇投弹手,不破之誓,Challenger,859,1242,526,304,222,58%
82,gh434,yone,封魔剑魂,疾风剑豪,虚空之女,Challenger,855,70,348,190,158,55%
83,Levitate,1v9,炽炎雏龙,英勇投弹手,涤魂圣枪,Challenger,854,737,449,249,200,55%
84,qi song,0204,亡灵战神,永恒梦魇,虚空遁地兽,Challenger,854,219,653,337,316,52%
85,trapped inside,NA1,残月之肃,探险家,麦林炮手,Challenger,845,268,353,216,137,61%
86,Zwag,Faker,远古巫灵,时光守护者,复仇焰魂,Challenger,844,275,170,96,74,56%
87,Sym,Sym,暗黑元首,离群之刺,符文法师,Challenger,841,1223,379,197,182,52%
88,DaddyVladdy,BIG,猩红收割者,天启者,封魔剑魂,Challenger,840,470,451,281,170,62%
89,FeedaBoi,NA1,暴怒骑士,荒漠屠夫,百裂冥犬,Challenger,838,863,182,118,64,65%
90,reflex,002,放逐之刃,亡灵战神,正义天使,Challenger,836,61,293,200,93,68%
91,HHH8N,H8N,战争女神,圣枪游侠,皮城女警,Challenger,834,561,155,87,68,56%
92,for river,lily,虚空掠夺者,法外狂徒,影流之主,Challenger,833,617,234,149,85,64%
93,mars,focus,元素女皇,暮光星灵,解脱者,Challenger,831,157,519,308,211,59%
94,TTVbigserori,rank1,不祥之刃,远古巫灵,邪恶小法师,Challenger,830,144,674,340,334,50%
95,LegitKorea,NA1,九尾妖狐,发条魔灵,暗黑元首,Challenger,829,762,484,281,203,58%
96,cyw,NA1,虚空之眼,皮城女警,潮汐海灵,Challenger,828,461,218,139,79,64%
97,Boybebui,NA1,翠神,探险家,唤潮鲛姬,Challenger,827,53,252,160,92,63%
98,宿命敲,lumi,暴走萝莉,探险家,皮城女警,Challenger,826,106,206,125,81,61%
99,Flow,THZ,发条魔灵,沙漠皇帝,冰晶凤凰,Challenger,826,1141,587,308,279,52%
100,Omi,Brooo,虚空之女,戏命师,探险家,Challenger,826,362,331,198,133,60%
